Date,Price,Volume,Region
2015-12-27,1.33,64236.62,Oregon
2015-12-20,1.35,54876.98,Oregon
2015-12-13,0.93,118220.22,Oregon
2015-12-06,1.08,78992.15,Oregon
2015-11-29,1.28,51039.6,Oregon
2015-11-22,1.26,55979.78,Oregon
2015-11-15,0.99,83453.76,Oregon
2015-11-08,0.98,109428.33,Oregon
2015-11-01,1.02,99811.42,Oregon
2015-10-25,1.07,74338.76,Oregon
2015-10-18,1.12,84843.44,Oregon
2015-10-11,1.28,64489.17,Oregon
2015-10-04,1.31,61007.1,Oregon
2015-09-27,0.99,106803.39,Oregon
2015-09-20,1.33,69759.01,Oregon
2015-09-13,1.28,76111.27,Oregon
2015-09-06,1.11,99172.96,Oregon
2015-08-30,1.07,105693.84,Oregon
2015-08-23,1.34,79992.09,Oregon
2015-08-16,1.33,80043.78,Oregon
2015-08-09,1.12,111140.93,Oregon
2015-08-02,1.45,75133.1,Oregon
2015-07-26,1.11,106757.1,Oregon
2015-07-19,1.26,96617.0,Oregon
2015-07-12,1.05,124055.31,Oregon
2015-07-05,1.35,109252.12,Oregon
2015-06-28,1.37,89534.81,Oregon
2015-06-21,1.27,104849.39,Oregon
2015-06-14,1.32,89631.3,Oregon
2015-06-07,1.07,122743.06,Oregon
2015-05-31,1.23,95123.62,Oregon
2015-05-24,1.19,101470.91,Oregon
2015-05-17,1.43,109857.47,Oregon
2015-05-10,1.26,120427.91,Oregon
2015-05-03,1.2,59197.67,Oregon
2015-04-26,1.22,49585.46,Oregon
2015-04-19,1.19,49064.73,Oregon
2015-04-12,1.13,48364.29,Oregon
2015-04-05,1.16,47362.13,Oregon
2015-03-29,1.02,67799.08,Oregon
2015-03-22,1.12,46346.85,Oregon
2015-03-15,1.11,43045.79,Oregon
2015-03-08,1.07,40507.36,Oregon
2015-03-01,0.99,55595.74,Oregon
2015-02-22,1.07,45675.05,Oregon
2015-02-15,1.06,41567.62,Oregon
2015-02-08,0.99,51253.97,Oregon
2015-02-01,0.99,70873.6,Oregon
2015-01-25,1.06,45147.5,Oregon
2015-01-18,1.17,44511.28,Oregon
2015-01-11,1.24,41195.08,Oregon
2015-01-04,1.22,40873.28,Oregon
2015-12-27,0.99,386100.49,Kansas
2015-12-20,1.08,331377.53,Kansas
2015-12-13,0.96,417772.47,Kansas
2015-12-06,1.07,357636.82,Kansas
2015-11-29,0.99,333280.79,Kansas
2015-11-22,1.0,356414.57,Kansas
2015-11-15,1.13,339860.68,Kansas
2015-11-08,1.12,334041.6,Kansas
2015-11-01,0.99,419088.74,Kansas
2015-10-25,1.09,358478.08,Kansas
2015-10-18,1.09,349072.48,Kansas
2015-10-11,0.95,433874.46,Kansas
2015-10-04,0.96,418682.26,Kansas
2015-09-27,1.07,370321.17,Kansas
2015-09-20,0.93,516432.6,Kansas
2015-09-13,1.07,417232.18,Kansas
2015-09-06,0.97,472136.53,Kansas
2015-08-30,1.15,382972.72,Kansas
2015-08-23,1.12,379054.29,Kansas
2015-08-16,1.09,465213.81,Kansas
2015-08-09,1.01,503791.72,Kansas
2015-08-02,1.15,405898.44,Kansas
2015-07-26,1.08,437377.75,Kansas
2015-07-19,0.97,557212.99,Kansas
2015-07-12,1.14,407204.88,Kansas
2015-07-05,1.01,562462.33,Kansas
2015-06-28,1.13,435210.71,Kansas
2015-06-21,0.99,554763.76,Kansas
2015-06-14,1.1,465804.78,Kansas
2015-06-07,0.99,551009.05,Kansas
2015-05-31,1.1,454702.0,Kansas
2015-05-24,0.96,623212.04,Kansas
2015-05-17,1.11,451250.7,Kansas
2015-05-10,1.1,480071.18,Kansas
2015-05-03,1.0,634213.1,Kansas
2015-04-26,1.12,448596.76,Kansas
2015-04-19,1.12,430966.34,Kansas
2015-04-12,0.99,451101.89,Kansas
2015-04-05,1.04,383139.49,Kansas
2015-03-29,1.11,365722.14,Kansas
2015-03-22,1.0,479590.62,Kansas
2015-03-15,1.12,399566.22,Kansas
2015-03-08,1.1,420826.32,Kansas
2015-03-01,0.99,512532.44,Kansas
2015-02-22,1.1,431308.56,Kansas
2015-02-15,1.06,427391.28,Kansas
2015-02-08,1.03,433883.91,Kansas
2015-02-01,0.96,636771.37,Kansas
2015-01-25,1.1,449332.85,Kansas
2015-01-18,1.11,431490.99,Kansas
2015-01-11,1.11,397542.72,Kansas
2015-01-04,1.0,435021.49,Kansas
2015-12-27,1.17,596819.4,Ohio
2015-12-20,1.11,642682.4,Ohio
2015-12-13,1.15,619509.33,Ohio
2015-12-06,1.04,649141.25,Ohio
2015-11-29,1.16,545800.05,Ohio
